me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=21 allocations=177981 hits=175911 misses=2070 offers=175932 rejects=0 hit_pct=98.83
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1168 avg_copy_batch=70 max_copy_batch=424 copy_dispatch_batches=1250 avg_copy_dispatched_per_tick=66 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1193 avg_copy_batch=69 max_copy_batch=424 copy_dispatch_batches=1275 avg_copy_dispatched_per_tick=64 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1215 avg_copy_batch=68 max_copy_batch=424 copy_dispatch_batches=1297 avg_copy_dispatched_per_tick=63 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3280 remaining_bytes=67105584 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1239 avg_copy_batch=67 max_copy_batch=424 copy_dispatch_batches=1321 avg_copy_dispatched_per_tick=62 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3280 remaining_bytes=67105584 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1263 avg_copy_batch=66 max_copy_batch=424 copy_dispatch_batches=1345 avg_copy_dispatched_per_tick=61 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=5456 remaining_bytes=67103408 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1285 avg_copy_batch=65 max_copy_batch=424 copy_dispatch_batches=1367 avg_copy_dispatched_per_tick=61 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1307 avg_copy_batch=64 max_copy_batch=424 copy_dispatch_batches=1389 avg_copy_dispatched_per_tick=60 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
